iteration	hypothesis	change	verify	metric_summary	decision	notes
AR8A	Generalized observable state matching should make the world-model prior fire in bounded ls20.	Bounded run with profile=research_extensions/config/world_model_generalized.yaml, namespace=ar12_wm_prior_generalized, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/world_model_generalized.yaml --namespace ar12_wm_prior_generalized --actions 12 --timeout-sec 900`	elapsed=58.4s; returncode=0; timed_out=False; modules=['world_model']; verify_ok=True; wm_drafts=1; wm_prior=11/11	keep	report=ar12_wm_prior_generalized.json
AR8B	All-on with generalized observable matching should preserve artifact quality and produce at least one world-model prior suggestion.	Bounded run with profile=research_extensions/config/all_on_generalized.yaml, namespace=ar12_all_on_prior_generalized, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace ar12_all_on_prior_generalized --actions 12 --timeout-sec 900`	elapsed=64.5s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=1; wm_drafts=1; wm_prior=11/11; mh_runs=1	keep	report=ar12_all_on_prior_generalized.json
ARSURF2	Symbolica-like helper surface should run cleanly on a short all-on smoke test.	Bounded run with profile=research_extensions/config/all_on.yaml, namespace=ar12_symbolica_surface_smoke_all, actions=4, timeout=240	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/all_on.yaml --namespace ar12_symbolica_surface_smoke_all --actions 4 --timeout-sec 240`	elapsed=9.5s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=0; wm_prior=0/0; mh_runs=0	discard	report=ar12_symbolica_surface_smoke_all.json
ARSURF1	Symbolica-like helper surface should run cleanly on a short DreamCoder smoke test.	Bounded run with profile=research_extensions/config/dreamcoder_only.yaml, namespace=ar12_symbolica_surface_smoke_dc, actions=4, timeout=240	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace ar12_symbolica_surface_smoke_dc --actions 4 --timeout-sec 240`	elapsed=10.6s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=ar12_symbolica_surface_smoke_dc.json
ARSURF1B	Symbolica-like helper surface should run cleanly on a short DreamCoder smoke test.	Bounded run with profile=research_extensions/config/dreamcoder_only.yaml, namespace=ar12_symbolica_surface_smoke_dc_r2, actions=4, timeout=240	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace ar12_symbolica_surface_smoke_dc_r2 --actions 4 --timeout-sec 240`	elapsed=9.0s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=ar12_symbolica_surface_smoke_dc_r2.json
ARSURF2B	Symbolica-like helper surface should run cleanly on a short all-on smoke test.	Bounded run with profile=research_extensions/config/all_on.yaml, namespace=ar12_symbolica_surface_smoke_all_r2, actions=4, timeout=240	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/all_on.yaml --namespace ar12_symbolica_surface_smoke_all_r2 --actions 4 --timeout-sec 240`	elapsed=8.9s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=0; wm_prior=0/0; mh_runs=0	discard	report=ar12_symbolica_surface_smoke_all_r2.json
ARSURF2C	Symbolica-like helper surface should run cleanly on a short all-on smoke test.	Bounded run with profile=research_extensions/config/all_on.yaml, namespace=ar12_symbolica_surface_smoke_all_r3, actions=4, timeout=240	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/all_on.yaml --namespace ar12_symbolica_surface_smoke_all_r3 --actions 4 --timeout-sec 240`	elapsed=20.7s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=1; wm_prior=0/0; mh_runs=1	discard	report=ar12_symbolica_surface_smoke_all_r3.json
ARSURF1C	Symbolica-like helper surface should run cleanly on a short DreamCoder smoke test.	Bounded run with profile=research_extensions/config/dreamcoder_only.yaml, namespace=ar12_symbolica_surface_smoke_dc_r3, actions=4, timeout=240	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace ar12_symbolica_surface_smoke_dc_r3 --actions 4 --timeout-sec 240`	elapsed=21.3s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=ar12_symbolica_surface_smoke_dc_r3.json
sym-surface-dc-12	Symbolica-style helper surface plus persistent memories restores grounded skill formation.	Bounded run with profile=research_extensions/config/dreamcoder_only.yaml, namespace=sym_surface_dc_20260415a, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace sym_surface_dc_20260415a --actions 12 --timeout-sec 900`	elapsed=54.3s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=sym_surface_dc_20260415a.json; thresholds=dc_grounded 0 < required 1
sym-surface-all-12	Symbolica-style helper surface plus persistent memories preserves DC/WM/MH artifacts together.	Bounded run with profile=research_extensions/config/all_on_generalized.yaml, namespace=sym_surface_all_20260415a, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace sym_surface_all_20260415a --actions 12 --timeout-sec 900`	elapsed=71.5s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=0; wm_drafts=1; wm_prior=11/11; mh_runs=1	keep	report=sym_surface_all_20260415a.json
sym-surface-all-12-guarded	World-model prior should stop overriding into a repeated single-action loop under Symbolica-style helper surface.	Bounded run with profile=research_extensions/config/all_on_generalized.yaml, namespace=sym_surface_all_20260415b, actions=12, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace sym_surface_all_20260415b --actions 12 --timeout-sec 900`	elapsed=64.8s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=0; wm_drafts=1; wm_prior=7/11; mh_runs=1	keep	report=sym_surface_all_20260415b.json
AR_ORCH1	Arcgentica orchestrator can run locally via TRAPI fallback, consume >1 action, and emit DreamCoder artifacts on ls20.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_smoke_dc_20260415a, actions=8, timeout=900	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_smoke_dc_20260415a --actions 8 --timeout-sec 900`	elapsed=211.5s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=1/1; dc_revised=0	discard	report=arcgentica_smoke_dc_20260415a.json
AR_ORCH3	Arcgentica local fallback should terminate promptly after bounded exploration instead of hanging on exhausted subagent budgets.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_smoke_dc_20260415c, actions=5, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_smoke_dc_20260415c --actions 5 --timeout-sec 600`	elapsed=188.1s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1; dc_revised=0	keep	report=arcgentica_smoke_dc_20260415c.json
AR_ORCH5	Official agentica-server path via local TRAPI proxy should run bounded arcgentica on ls20 and emit DreamCoder artifacts.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_smoke_official_20260415a, actions=5, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_smoke_official_20260415a --actions 5 --timeout-sec 600`	elapsed=7.8s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=arcgentica_smoke_official_20260415a.json
AR_ORCH6	Reproducing official agentica-server path failure with proxy request logging enabled.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_smoke_official_20260415b, actions=5, timeout=600	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_smoke_official_20260415b --actions 5 --timeout-sec 600`	elapsed=7.9s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=arcgentica_smoke_official_20260415b.json
QUICK2_DC	With local-only game discovery, skipped scorecard close, GPT preset, and compact prompts, the official DreamCoder path should take actions and exit cleanly.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_quick_verify_dc_20260415c, actions=6, timeout=360	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_quick_verify_dc_20260415c --actions 6 --timeout-sec 360`	elapsed=67.9s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=arcgentica_quick_verify_dc_20260415c.json
QUICK2_WM	With local-only game discovery, skipped scorecard close, GPT preset, and compact prompts, the official world-model path should take actions and exit cleanly.	Bounded run with agent=arcgentica, profile=research_extensions/config/world_model_generalized.yaml, namespace=arcgentica_quick_verify_wm_20260415c, actions=6, timeout=360	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/world_model_generalized.yaml --namespace arcgentica_quick_verify_wm_20260415c --actions 6 --timeout-sec 360`	elapsed=80.7s; returncode=0; timed_out=False; modules=['world_model']; verify_ok=False; wm_drafts=0; wm_prior=0/4	discard	report=arcgentica_quick_verify_wm_20260415c.json
QUICK2_ALL	With local-only game discovery, skipped scorecard close, GPT preset, and compact prompts, the official all-on path should take actions and exit cleanly.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_quick_verify_all_20260415c, actions=6, timeout=360	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_quick_verify_all_20260415c --actions 6 --timeout-sec 360`	elapsed=127.8s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=0; wm_prior=0/4; mh_runs=1	discard	report=arcgentica_quick_verify_all_20260415c.json
QUICK3_WM	Per-turn world_update pressure should yield at least one world draft in a short official run.	Bounded run with agent=arcgentica, profile=research_extensions/config/world_model_generalized.yaml, namespace=arcgentica_quick_verify_wm_20260415d, actions=8, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/world_model_generalized.yaml --namespace arcgentica_quick_verify_wm_20260415d --actions 8 --timeout-sec 420`	elapsed=88.1s; returncode=0; timed_out=False; modules=['world_model']; verify_ok=False; wm_drafts=0; wm_prior=0/6	discard	report=arcgentica_quick_verify_wm_20260415d.json; thresholds=wm_drafts 0 < required 1
QUICK3_DC	Earlier DreamCoder prompting and memory-aware skill revision should yield at least one action-grounded skill in a short official run.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_quick_verify_dc_20260415d, actions=8, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_quick_verify_dc_20260415d --actions 8 --timeout-sec 420`	elapsed=101.6s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1; dc_revised=1	keep	report=arcgentica_quick_verify_dc_20260415d.json
QUICK3_ALL	Earlier DreamCoder proposals plus mandatory world draft revision should produce both a grounded skill and a world draft in a short all-on official run.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_quick_verify_all_20260415d, actions=8, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_quick_verify_all_20260415d --actions 8 --timeout-sec 420`	elapsed=103.7s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=0/0; dc_revised=0; wm_drafts=1; wm_prior=0/6; mh_runs=1	discard	report=arcgentica_quick_verify_all_20260415d.json; thresholds=dc_grounded 0 < required 1
QUICK4_DC	DreamCoder-only official run should continue producing at least one grounded skill under the tightened memory-aware cadence.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_quick_verify_dc_20260415e, actions=10, timeout=480	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_quick_verify_dc_20260415e --actions 10 --timeout-sec 480`	elapsed=74.9s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=2/2; dc_revised=0	keep	report=arcgentica_quick_verify_dc_20260415e.json
QUICK4_WM	Explicit multi-hook guidance should make the official world-model run emit at least one world draft.	Bounded run with agent=arcgentica, profile=research_extensions/config/world_model_generalized.yaml, namespace=arcgentica_quick_verify_wm_20260415e, actions=10, timeout=480	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/world_model_generalized.yaml --namespace arcgentica_quick_verify_wm_20260415e --actions 10 --timeout-sec 480`	elapsed=141.3s; returncode=0; timed_out=False; modules=['world_model']; verify_ok=False; wm_drafts=1; wm_prior=0/8	discard	report=arcgentica_quick_verify_wm_20260415e.json
QUICK4_ALL	Explicit multi-hook guidance should make the all-on official run emit both a grounded skill and a world draft.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_quick_verify_all_20260415e, actions=10, timeout=480	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_quick_verify_all_20260415e --actions 10 --timeout-sec 480`	elapsed=276.2s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=3/3; dc_revised=1; wm_drafts=1; wm_prior=0/9; mh_runs=1	keep	report=arcgentica_quick_verify_all_20260415e.json
QUICK_ALL_ROUTE	All-on should now couple skill routing with world-model intervention, increasing grounded skills and at least one prior override in the same bounded run.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_quick_verify_all_20260415f, actions=12, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_quick_verify_all_20260415f --actions 12 --timeout-sec 420`	elapsed=100.0s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=False; dc_grounded=1/1; dc_revised=0; wm_drafts=1; wm_prior=0/3; mh_runs=1	discard	report=arcgentica_quick_verify_all_20260415f.json; thresholds=wm_prior_overrides 0 < required 1
QUICK_DC_ROUTE	DreamCoder skill routing should reduce reset-heavy wandering and let fresh action-grounded skills steer the next move.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_quick_verify_dc_20260415f, actions=12, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_quick_verify_dc_20260415f --actions 12 --timeout-sec 420`	elapsed=125.0s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1; dc_revised=0	keep	report=arcgentica_quick_verify_dc_20260415f.json
QUICK_WM_ROUTE	World-model novelty override should intercept uninformative resets and produce at least one prior override in a short run.	Bounded run with agent=arcgentica, profile=research_extensions/config/world_model_generalized.yaml, namespace=arcgentica_quick_verify_wm_20260415f, actions=12, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/world_model_generalized.yaml --namespace arcgentica_quick_verify_wm_20260415f --actions 12 --timeout-sec 420`	elapsed=222.0s; returncode=0; timed_out=False; modules=['world_model']; verify_ok=True; wm_drafts=1; wm_prior=6/11	keep	report=arcgentica_quick_verify_wm_20260415f.json
PAR_A	parallel workdir isolation smoke A	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_parallel_smoke_a_20260415g, actions=4, timeout=240	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_parallel_smoke_a_20260415g --actions 4 --timeout-sec 240`	elapsed=44.9s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=1/1; dc_revised=0	discard	report=arcgentica_parallel_smoke_a_20260415g.json
SUMMARY_SMOKE	summary path finder should work after nested workdir refactor	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_summary_smoke_20260415h, actions=3, timeout=180	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_summary_smoke_20260415h --actions 3 --timeout-sec 180`	elapsed=29.0s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=True; dc_grounded=1/1; dc_revised=0	keep	report=arcgentica_summary_smoke_20260415h.json
PAR_B	parallel workdir isolation smoke B	Bounded run with agent=arcgentica, profile=research_extensions/config/world_model_generalized.yaml, namespace=arcgentica_parallel_smoke_b_20260415g, actions=4, timeout=240	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/world_model_generalized.yaml --namespace arcgentica_parallel_smoke_b_20260415g --actions 4 --timeout-sec 240`	elapsed=160.2s; returncode=0; timed_out=False; modules=['world_model']; verify_ok=False; wm_drafts=0; wm_prior=0/3	discard	report=arcgentica_parallel_smoke_b_20260415g.json
QUICK_ALL_ROUTE_R2	After routing + workdir fixes, all-on should preserve parallel-safe logs and couple grounded skills with stronger action steering.	Bounded run with agent=arcgentica, profile=research_extensions/config/all_on_generalized.yaml, namespace=arcgentica_quick_verify_all_20260415g, actions=12, timeout=420	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/all_on_generalized.yaml --namespace arcgentica_quick_verify_all_20260415g --actions 12 --timeout-sec 420`	elapsed=121.0s; returncode=0; timed_out=False; modules=['dreamcoder', 'world_model', 'meta_harness']; verify_ok=True; dc_grounded=1/1; dc_revised=0; wm_drafts=1; wm_prior=5/11; mh_runs=1	keep	report=arcgentica_quick_verify_all_20260415g.json
SKREAD_DC1	DreamCoder should grow a larger library and expose reusable skills for model-side choice, while only intercepting premature reset/continuation.	Bounded run with agent=arcgentica, profile=research_extensions/config/dreamcoder_only.yaml, namespace=arcgentica_skillread_dc_20260415i, actions=14, timeout=540	`pytest -q tests/unit` ; `python3 scripts/run_bounded_experiment.py --agent arcgentica --game ls20 --profile research_extensions/config/dreamcoder_only.yaml --namespace arcgentica_skillread_dc_20260415i --actions 14 --timeout-sec 540`	elapsed=90.2s; returncode=0; timed_out=False; modules=['dreamcoder']; verify_ok=False; dc_grounded=0/0; dc_revised=0	discard	report=arcgentica_skillread_dc_20260415i.json; thresholds=dc_grounded 0 < required 1
